id;building;year;retrofit;construction_type;night_setback;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV;ec_charging;consumption
156;MFH;1914;2;0;0;1186;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;155959.0
157;MFH;1947;2;0;0;1423;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;215299.90000000002
158;MFH;1975;2;0;0;3788;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;168593.57016666667
159;MFH;1961;2;0;0;1912;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;220836.0
160;MFH;1910;2;0;0;2837;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;407270.6666666667
161;MFH;1998;2;0;0;229;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;20861.899999999998
162;MFH;1900;2;0;0;2500;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;349895.1666666667
163;MFH;1918;2;0;0;3049;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;400943.5
164;MFH;1960;2;0;0;1140;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;79143449.0
165;MFH;1974;2;0;0;1529;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;313099.8333333333
166;MFH;1934;2;0;0;893;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;90595.0415
167;MFH;1900;2;0;0;3312;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;103681.78449999998
168;MFH;1928;2;0;0;8814;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;854427.7333333334
169;MFH;1947;2;0;0;2729;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;33459.5001
170;MFH;1926;2;0;0;1971;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;239003.08533333332
171;MFH;2017;2;0;0;2065;HP;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;94577.0
172;MFH;1910;2;0;0;1611;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;211846.5
173;MFH;2012;2;0;0;923;HP;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;36562.63
174;MFH;1958;2;0;0;2102;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;225324.8437333333
175;MFH;1906;2;0;0;1466;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;132761.13873333333
176;MFH;1945;2;0;0;195;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;29503.500000000004
177;MFH;1910;2;0;0;938;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;125922.32066666668
178;MFH;1920;2;0;0;291;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;44028.3
179;MFH;1906;2;0;0;1503;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;197644.5
180;MFH;1895;2;0;0;3953;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;762970.8953333332
181;MFH;1924;2;0;0;2988;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;452084.4
182;MFH;1960;2;0;0;2400;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;133342.04716666666
183;MFH;1934;2;0;0;150;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;22695.0
184;MFH;1961;2;0;0;1912;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;220836.0
185;MFH;1900;2;0;0;4717;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;329763.4245
186;MFH;1978;2;0;0;4984;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;277839.8257
187;MFH;1906;2;0;0;3033;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;248402.51250000004
188;MFH;2010;2;0;0;271;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;43299.50666666666
189;MFH;1963;2;0;0;905;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;88872.758
190;MFH;1900;2;0;0;1753;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;398215.07000000007
191;MFH;1905;2;0;0;2633;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;288588.71579999995
192;MFH;1955;2;0;0;445;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;62433.50000000001
193;MFH;1958;2;0;0;1238;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;140553.7275
