Support_Year;Cluster;Timestep;Power_Demand_kW
5;0;152;53.952
5;0;153;50.245
5;0;154;44.56
5;0;155;43.651
5;0;156;45.316
5;0;157;59.808
5;0;158;57.623
5;0;159;48.26
5;0;160;54.876
5;0;161;56.285
5;0;162;61.855
5;0;163;74.505
5;0;164;75.637
5;0;165;71.567
5;0;166;63.412
5;0;167;50.47
5;1;0;16.763
5;1;1;17.892
5;1;2;18.353
5;1;3;19.991
5;1;4;21.049
5;1;5;19.563
5;1;6;26.057
5;1;7;40.093
5;1;8;60.865
5;1;9;64.839
5;1;10;61.129
5;1;11;53.857
5;1;12;52.06
5;1;13;57.414
5;1;14;58.452
5;1;15;50.397
5;1;16;60.324
5;1;17;55.497
5;1;18;54.288
5;1;19;73.578
5;1;20;73.7
5;1;21;70.329
5;1;22;58.006
5;1;23;41.519
5;1;24;17.033
5;1;25;22.962
5;1;26;19.109
5;1;27;19.443
5;1;28;18.48
5;1;29;20.301
5;1;30;25.054
5;1;31;49.862
5;1;32;60.478
5;1;33;53.815
5;1;34;52.588
5;1;35;43.748
5;1;36;42.093
5;1;37;50.23
5;1;38;48.461
5;1;39;44.694
5;1;40;54.569
5;1;41;61.044
5;1;42;58.963
5;1;43;65.332
5;1;44;77.275
5;1;45;65.547
5;1;46;56.193
5;1;47;56.054
5;1;48;17.665
5;1;49;19.433
5;1;50;18.81
5;1;51;18.246
5;1;52;22.32
5;1;53;19.955
5;1;54;24.447
5;1;55;49.846
5;1;56;47.804
5;1;57;46.15
5;1;58;43.74
5;1;59;40.508
5;1;60;41.084
5;1;61;40.198
5;1;62;50.588
5;1;63;47.314
5;1;64;50.552
5;1;65;46.183
5;1;66;57.231
5;1;67;60.604
5;1;68;77.337
5;1;69;64.027
5;1;70;58.409
5;1;71;39.712
5;1;72;17.553
5;1;73;19.72
5;1;74;19.438
5;1;75;18.504
5;1;76;18.562
5;1;77;23.894
5;1;78;21.902
5;1;79;27.42
5;1;80;30.01
5;1;81;35.494
5;1;82;36.17
5;1;83;38.244
5;1;84;35.505
5;1;85;40.699
5;1;86;40.226
5;1;87;33.412
5;1;88;46.745
5;1;89;36.401
5;1;90;51.357
5;1;91;64.757
5;1;92;67.966
5;1;93;64.396
5;1;94;58.339
5;1;95;49.996
5;1;96;16.783
5;1;97;18.711
5;1;98;22.833
5;1;99;19.229
5;1;100;18.228
5;1;101;19.633
5;1;102;19.604
5;1;103;36.294
5;1;104;54.144
5;1;105;51.254
5;1;106;51.898
5;1;107;64.064
5;1;108;58.338
5;1;109;58.036
5;1;110;67.313
5;1;111;52.702
5;1;112;65.548
5;1;113;66.989
5;1;114;54.354
5;1;115;70.136
5;1;116;71.854
5;1;117;59.689
5;1;118;53.321
5;1;119;35.648
5;1;120;16.989
5;1;121;20.609
5;1;122;18.532
5;1;123;18.088
5;1;124;19.257
5;1;125;19.214
5;1;126;20.541
5;1;127;50.68
5;1;128;54.988
5;1;129;51.142
5;1;130;56.876
5;1;131;53.731
5;1;132;58.33
5;1;133;63.697
5;1;134;47.891
5;1;135;43.623
5;1;136;43.111
5;1;137;48.474
5;1;138;60.867
5;1;139;68.997
5;1;140;65.642
5;1;141;62.976
5;1;142;52.098
5;1;143;62.957
5;1;144;17.761
5;1;145;18.734
5;1;146;18.328
5;1;147;18.938
5;1;148;21.383
5;1;149;19.675
5;1;150;21.782
5;1;151;41.563
5;1;152;61.339
5;1;153;51.422
5;1;154;53.235
5;1;155;55.191
5;1;156;52.641
5;1;157;52.877
5;1;158;56.802
5;1;159;40.456
5;1;160;59.589
5;1;161;58.815
5;1;162;39.094
5;1;163;72.316
5;1;164;76.092
5;1;165;68.057
5;1;166;69.299
5;1;167;42.765
5;2;0;17.2
5;2;1;26.017
5;2;2;18.383
5;2;3;18.823
5;2;4;19.18
5;2;5;19.286
5;2;6;21.88
5;2;7;59.192
5;2;8;59.848
5;2;9;48.274
5;2;10;58.053
5;2;11;45.403
5;2;12;46.31
5;2;13;48.912
5;2;14;50.379
5;2;15;59.077
5;2;16;52.43
5;2;17;51.332
5;2;18;66.635
5;2;19;68.004
5;2;20;77.633
5;2;21;63.117
5;2;22;65.663
5;2;23;58.176
5;2;24;16.659
5;2;25;19.219
5;2;26;18.695
5;2;27;18.878
5;2;28;18.35
5;2;29;22.177
5;2;30;24.177
5;2;31;49.628
5;2;32;49.094
5;2;33;52.874
5;2;34;54.421
5;2;35;48.965
5;2;36;54.908
5;2;37;47.655
5;2;38;43.854
5;2;39;50.496
5;2;40;56.111
5;2;41;56.581
5;2;42;64.693
5;2;43;67.545
5;2;44;78.285
5;2;45;65.811
5;2;46;69.962
5;2;47;45.367
5;2;48;16.822
5;2;49;17.764
5;2;50;19.345
5;2;51;18.273
5;2;52;18.43
5;2;53;19.109
5;2;54;19.644
5;2;55;66.523
5;2;56;56.031
5;2;57;46.321
5;2;58;50.515
5;2;59;41.633
5;2;60;44.391
5;2;61;44.379
5;2;62;39.595
5;2;63;55.488
5;2;64;42.025
5;2;65;53.251
5;2;66;64.919
5;2;67;71.876
5;2;68;82.575
5;2;69;62.48
5;2;70;59.396
5;2;71;58.581
5;2;72;17.162
5;2;73;23.613
5;2;74;18.041
5;2;75;19.582
5;2;76;17.903
5;2;77;23.818
5;2;78;22.748
5;2;79;24.532
5;2;80;31.991
5;2;81;33.584
5;2;82;51.841
5;2;83;34.29
5;2;84;34.324
5;2;85;36.527
5;2;86;41.472
5;2;87;41.855
5;2;88;35.853
5;2;89;40.879
5;2;90;52.542
5;2;91;50.629
5;2;92;63.513
5;2;93;62.695
5;2;94;55.447
5;2;95;42.414
5;2;96;17.04
5;2;97;25.743
