Support_Year;Cluster;Timestep;Power_Demand_kW
0;3;125;190.755
0;3;126;197.918
0;3;127;604.985
0;3;128;662.51
0;3;129;651.572
0;3;130;628.452
0;3;131;643.333
0;3;132;462.92
0;3;133;446.431
0;3;134;673.288
0;3;135;666.052
0;3;136;660.047
0;3;137;642.762
0;3;138;577.359
0;3;139;590.096
0;3;140;455.299
0;3;141;262.124
0;3;142;248.34
0;3;143;223.31
0;3;144;186.579
0;3;145;189.452
0;3;146;187.879
0;3;147;187.725
0;3;148;189.414
0;3;149;188.714
0;3;150;195.515
0;3;151;621.533
0;3;152;657.552
0;3;153;654.847
0;3;154;510.289
0;3;155;529.848
0;3;156;573.387
0;3;157;567.606
0;3;158;635.771
0;3;159;669.166
0;3;160;663.476
0;3;161;652.39
0;3;162;588.96
0;3;163;595.875
0;3;164;460.888
0;3;165;257.026
0;3;166;246.26
0;3;167;224.623
