Support_Year;Cluster;Timestep;HP;EB
5;0;147;1118.152;0.0
5;0;148;1118.152;0.0
5;0;149;1118.152;0.0
5;0;150;1118.152;0.0
5;0;151;1118.152;0.0
5;0;152;1118.152;0.0
5;0;153;1118.152;0.0
5;0;154;1118.152;0.0
5;0;155;1118.152;0.0
5;0;156;1118.152;0.0
5;0;157;1118.152;0.0
5;0;158;1118.152;0.0
5;0;159;1118.152;0.0
5;0;160;1118.152;0.0
5;0;161;1118.152;0.0
5;0;162;1118.152;0.0
5;0;163;1118.152;0.0
5;0;164;1118.152;0.0
5;0;165;1118.152;0.0
5;0;166;1005.409;0.0
5;0;167;1118.152;0.0
5;1;0;0.0;0.0
5;1;1;0.0;0.0
5;1;2;0.0;0.0
5;1;3;0.0;0.0
5;1;4;0.0;0.0
5;1;5;0.0;0.0
5;1;6;0.0;0.0
5;1;7;0.0;0.0
5;1;8;0.0;0.0
5;1;9;0.0;0.0
5;1;10;0.0;0.0
5;1;11;0.0;0.0
5;1;12;0.0;0.0
5;1;13;0.0;0.0
5;1;14;0.0;0.0
5;1;15;0.0;0.0
5;1;16;0.0;0.0
5;1;17;131.021;0.0
5;1;18;52.619;0.0
5;1;19;0.0;0.0
5;1;20;0.0;0.0
5;1;21;0.0;0.0
5;1;22;0.0;0.0
5;1;23;0.0;0.0
5;1;24;0.0;0.0
5;1;25;0.0;0.0
5;1;26;0.0;0.0
5;1;27;0.0;0.0
5;1;28;0.0;0.0
5;1;29;0.0;0.0
5;1;30;0.0;0.0
5;1;31;52.282;0.0
5;1;32;43.907;0.0
5;1;33;53.019;0.0
5;1;34;66.816;0.0
5;1;35;61.016;0.0
5;1;36;61.907;0.0
5;1;37;50.073;0.0
5;1;38;57.044;0.0
5;1;39;119.129;0.0
5;1;40;0.0;0.0
5;1;41;755.396;0.0
5;1;42;0.0;0.0
5;1;43;0.0;0.0
5;1;44;0.0;0.0
5;1;45;0.0;0.0
5;1;46;0.0;0.0
5;1;47;0.0;0.0
5;1;48;0.0;0.0
5;1;49;0.0;0.0
5;1;50;0.0;0.0
5;1;51;0.0;0.0
5;1;52;0.0;0.0
5;1;53;0.0;0.0
5;1;54;0.0;0.0
5;1;55;0.0;0.0
5;1;56;0.0;0.0
5;1;57;0.0;0.0
5;1;58;43.108;0.0
5;1;59;46.29;0.0
5;1;60;44.998;0.0
5;1;61;46.24;0.0
5;1;62;42.117;0.0
5;1;63;788.52;0.0
5;1;64;0.0;0.0
5;1;65;0.0;0.0
5;1;66;0.0;0.0
5;1;67;0.0;0.0
5;1;68;0.0;0.0
5;1;69;0.0;0.0
5;1;70;0.0;0.0
5;1;71;0.0;0.0
5;1;72;0.0;0.0
5;1;73;0.0;0.0
5;1;74;0.0;0.0
