Support_Year;Cluster;Timestep;Heat_Demand_kW
0;3;151;1547.78
0;3;152;1406.689
0;3;153;1333.192
0;3;154;1284.233
0;3;155;1204.21
0;3;156;1211.659
0;3;157;1108.397
0;3;158;1097.869
0;3;159;1074.102
0;3;160;1055.276
0;3;161;1039.499
0;3;162;1127.333
0;3;163;1120.125
0;3;164;1090.947
0;3;165;1066.04
0;3;166;973.499
0;3;167;999.591
